# QuantLib 1.44-dev (commit 0191ca7); generated by quantlib-conformance/tools/export_fixtures
S,V0,T,b,r,X,lambda,kbar,delta,alpha,betastar,sigma_v,rho,call
100,0.04,0.2,0.01,0.03,85,0.5,-0.1,0.15,0.06,1.5,0.4,-0.6,15.671792324566653
100,0.04,0.2,0.01,0.03,100,0.5,-0.1,0.15,0.06,1.5,0.4,-0.6,4.039324604250737
100,0.04,0.2,0.01,0.03,115,0.5,-0.1,0.15,0.06,1.5,0.4,-0.6,0.19212160123570943
100,0.04,1,0.01,0.03,85,0.5,-0.1,0.15,0.06,1.5,0.4,-0.6,18.87720147385663
100,0.04,1,0.01,0.03,100,0.5,-0.1,0.15,0.06,1.5,0.4,-0.6,9.261268517183346
100,0.04,1,0.01,0.03,115,0.5,-0.1,0.15,0.06,1.5,0.4,-0.6,3.2868315627575164
100,0.04,2,0.01,0.03,85,0.5,-0.1,0.15,0.06,1.5,0.4,-0.6,21.67009783242046
100,0.04,2,0.01,0.03,100,0.5,-0.1,0.15,0.06,1.5,0.4,-0.6,13.075466049346666
100,0.04,2,0.01,0.03,115,0.5,-0.1,0.15,0.06,1.5,0.4,-0.6,7.00768797942785
100,0.04,0.2,0.01,0.03,85,2,0.02,0.05,0.06,1.5,0.4,-0.6,15.403642311236496
100,0.04,0.2,0.01,0.03,100,2,0.02,0.05,0.06,1.5,0.4,-0.6,3.777905985773309
100,0.04,0.2,0.01,0.03,115,2,0.02,0.05,0.06,1.5,0.4,-0.6,0.221107620887957
100,0.04,1,0.01,0.03,85,2,0.02,0.05,0.06,1.5,0.4,-0.6,18.125339079950592
100,0.04,1,0.01,0.03,100,2,0.02,0.05,0.06,1.5,0.4,-0.6,8.290146179651103
100,0.04,1,0.01,0.03,115,2,0.02,0.05,0.06,1.5,0.4,-0.6,2.760231633605212
100,0.04,2,0.01,0.03,85,2,0.02,0.05,0.06,1.5,0.4,-0.6,20.589132538670846
100,0.04,2,0.01,0.03,100,2,0.02,0.05,0.06,1.5,0.4,-0.6,11.70521396722674
100,0.04,2,0.01,0.03,115,2,0.02,0.05,0.06,1.5,0.4,-0.6,5.813455920803435
100,0.04,0.2,0.01,0.03,85,0.1,-0.3,0.4,0.06,1.5,0.4,-0.6,15.756883788065977
100,0.04,0.2,0.01,0.03,100,0.1,-0.3,0.4,0.06,1.5,0.4,-0.6,3.8993018412482314
100,0.04,0.2,0.01,0.03,115,0.1,-0.3,0.4,0.06,1.5,0.4,-0.6,0.15899029370863804
100,0.04,1,0.01,0.03,85,0.1,-0.3,0.4,0.06,1.5,0.4,-0.6,19.330274232173252
100,0.04,1,0.01,0.03,100,0.1,-0.3,0.4,0.06,1.5,0.4,-0.6,9.244254952458476
100,0.04,1,0.01,0.03,115,0.1,-0.3,0.4,0.06,1.5,0.4,-0.6,3.0026144953442895
100,0.04,2,0.01,0.03,85,0.1,-0.3,0.4,0.06,1.5,0.4,-0.6,22.454308205811884
100,0.04,2,0.01,0.03,100,0.1,-0.3,0.4,0.06,1.5,0.4,-0.6,13.460664323751047
100,0.04,2,0.01,0.03,115,0.1,-0.3,0.4,0.06,1.5,0.4,-0.6,6.933779661629238
