# QuantLib 1.44-dev (commit 0191ca7); generated by quantlib-conformance/tools/export_fixtures
F,K,s,t,r,displacement,call,put,intrinsic
100,60,0.05,0.02,0.03,0,39.97600719856022,-0,39.97600719856022
100,60,0.05,1,0.03,0,38.81782134194032,3.0192210048782094e-25,38.81782134194032
100,60,0.05,10,0.03,0,29.634223704707225,0.0014948774385110132,29.632728827268714
100,60,0.25,0.02,0.03,0,39.97600719856022,2.40950287360218e-48,39.97600719856022
100,60,0.25,1,0.03,0,38.958920290277995,0.14109894833766962,38.81782134194032
100,60,0.25,10,0.03,0,36.42888828490516,6.796159457636453,29.632728827268714
100,60,0.8,0.02,0.03,0,39.976012836498214,5.637938000772136e-06,39.97600719856022
100,60,0.8,1,0.03,0,47.93315093386773,9.115329591927404,38.81782134194032
100,60,0.8,10,0.03,0,62.41046735008906,32.777738522820336,29.632728827268714
100,80,0.05,0.02,0.03,0,19.98800359928011,1.4247207947990057e-220,19.98800359928011
100,80,0.05,1,0.03,0,19.408914280865666,3.6098954932819205e-06,19.40891067097016
100,80,0.05,10,0.03,0,15.190250089376473,0.37388567574211956,14.816364413634357
100,80,0.25,0.02,0.03,0,19.988003599346193,6.609457618159514e-11,19.98800359928011
100,80,0.25,1,0.03,0,21.607542493996363,2.1986318230261963,19.40891067097016
100,80,0.25,10,0.03,0,28.66710236039636,13.850737946762004,14.816364413634357
100,80,0.8,0.02,0.03,0,20.080335549676523,0.09233195039640785,19.98800359928011
100,80,0.8,1,0.03,0,37.84297537925846,18.434064708288297,19.40891067097016
100,80,0.8,10,0.03,0,60.470441763302574,45.654077349668206,14.816364413634357
100,95,0.05,0.02,0.03,0,4.9970008998200415,1.8546261337750034e-14,4.997000899820027
100,95,0.05,1,0.03,0,5.227153396073093,0.3749257283305346,4.85222766774254
100,95,0.05,10,0.03,0,6.640293338801201,2.9362022353926065,3.7040911034085893
100,95,0.25,0.02,0.03,0,5.10979416655655,0.11279326673654097,4.997000899820027
100,95,0.25,1,0.03,0,12.034758726115172,7.182531058372632,4.85222766774254
100,95,0.25,10,0.03,0,24.097428541560017,20.393337438151427,3.7040911034085893
100,95,0.8,0.02,0.03,0,7.337779184284654,2.3407782844646268,4.997000899820027
100,95,0.8,1,0.03,0,31.894902368708056,27.04267470096551,4.85222766774254
100,95,0.8,10,0.03,0,59.21620983943214,55.512118736023545,3.7040911034085893
100,100,0.05,0.02,0.03,0,0.2819249983218516,0.2819249983218516,0
100,100,0.05,1,0.03,0,1.9355571481599967,1.9355571481599967,0
