# QuantLib 1.44-dev (commit 0191ca7); generated by quantlib-conformance/tools/export_fixtures
S,v0,kappa,theta,sigma,rho,r,q,K,T,call
100,0.04,1.5,0.04,0.3,-0.7,0.03,0,80,0.2,20.544680047054808
100,0.04,1.5,0.04,0.3,-0.7,0.03,0,100,0.2,3.822646689792589
100,0.04,1.5,0.04,0.3,-0.7,0.03,0,125,0.2,0.0017754304385411007
100,0.04,1.5,0.04,0.3,-0.7,0.03,0,80,1,23.740044277763115
100,0.04,1.5,0.04,0.3,-0.7,0.03,0,100,1,9.19331830672825
100,0.04,1.5,0.04,0.3,-0.7,0.03,0,125,1,0.9567447100582627
100,0.04,1.5,0.04,0.3,-0.7,0.03,0,80,2,27.288133824144474
100,0.04,1.5,0.04,0.3,-0.7,0.03,0,100,2,13.797135140298387
100,0.04,1.5,0.04,0.3,-0.7,0.03,0,125,2,3.8459060090107275
100,0.04,1.5,0.04,0.3,-0.7,0.03,0,80,5,35.817201737060245
100,0.04,1.5,0.04,0.3,-0.7,0.03,0,100,5,24.161149080704885
100,0.04,1.5,0.04,0.3,-0.7,0.03,0,125,5,13.49288786915244
100,0.05,3,0.09,0.8,-0.3,0.03,0,80,0.2,20.676049577166783
100,0.05,3,0.09,0.8,-0.3,0.03,0,100,0.2,4.4405651457834425
100,0.05,3,0.09,0.8,-0.3,0.03,0,125,0.2,0.09335625078450359
100,0.05,3,0.09,0.8,-0.3,0.03,0,80,1,25.0371138486296
100,0.05,3,0.09,0.8,-0.3,0.03,0,100,1,11.866397747303127
100,0.05,3,0.09,0.8,-0.3,0.03,0,125,1,3.496858142081142
100,0.05,3,0.09,0.8,-0.3,0.03,0,80,2,29.83475736424566
100,0.05,3,0.09,0.8,-0.3,0.03,0,100,2,18.164331318656423
100,0.05,3,0.09,0.8,-0.3,0.03,0,125,2,8.911909881590777
100,0.05,3,0.09,0.8,-0.3,0.03,0,80,5,40.60256314869356
100,0.05,3,0.09,0.8,-0.3,0.03,0,100,5,31.097356069967915
100,0.05,3,0.09,0.8,-0.3,0.03,0,125,5,22.137653527071617
100,0.03,0.5,0.06,0.2,0.2,0.03,0,80,0.2,20.482524998935528
100,0.03,0.5,0.06,0.2,0.2,0.03,0,100,0.2,3.429119696722978
100,0.03,0.5,0.06,0.2,0.2,0.03,0,125,0.2,0.0202738309561563
100,0.03,0.5,0.06,0.2,0.2,0.03,0,80,1,23.012642588419855
100,0.03,0.5,0.06,0.2,0.2,0.03,0,100,1,8.827902605699709
100,0.03,0.5,0.06,0.2,0.2,0.03,0,125,1,1.9207152600290143
100,0.03,0.5,0.06,0.2,0.2,0.03,0,80,2,26.538884186342163
100,0.03,0.5,0.06,0.2,0.2,0.03,0,100,2,13.812096217263093
100,0.03,0.5,0.06,0.2,0.2,0.03,0,125,2,5.569431803044987
100,0.03,0.5,0.06,0.2,0.2,0.03,0,80,5,35.94931121649022
100,0.03,0.5,0.06,0.2,0.2,0.03,0,100,5,25.390229132475906
100,0.03,0.5,0.06,0.2,0.2,0.03,0,125,5,16.41463356189814
