# QuantLib 1.44-dev (commit 0191ca7); generated by quantlib-conformance/tools/export_fixtures
f,K,alpha,beta,nu,rho,T,shift,lognormal_vol,normal_vol
0.03,0.015,0.0035,0,0.5,-0.4,1,0,0.26470818693129805,0.005722006815800082
0.03,0.015,0.0035,0,0.9,0.3,5,0,0.34270852826776543,0.007383942171049632
0.03,0.024,0.0035,0,0.5,-0.4,1,0,0.16247723656348623,0.004365725861410592
0.03,0.024,0.0035,0,0.9,0.3,5,0,0.18709808925259902,0.005017026130386351
0.03,0.028499999999999998,0.0035,0,0.5,-0.4,1,0,0.12749160167778514,0.0037261222077728863
0.03,0.028499999999999998,0.0035,0,0.9,0.3,5,0,0.14972696588982862,0.004368460902324109
0.03,0.0315,0.0035,0,0.5,-0.4,1,0,0.11149665375465762,0.003426020505888095
0.03,0.0315,0.0035,0,0.9,0.3,5,0,0.15857346344102766,0.004864997329609554
0.03,0.039,0.0035,0,0.5,-0.4,1,0,0.10400417184976045,0.0035661706262158062
0.03,0.039,0.0035,0,0.9,0.3,5,0,0.21440897090356867,0.007342570900623782
0.03,0.06,0.0035,0,0.5,-0.4,1,0,0.1351901877184573,0.005849511564563368
0.03,0.06,0.0035,0,0.9,0.3,5,0,0.3168091896572654,0.013696735428370618
0.03,0.015,0.035,0.5,0.5,-0.4,1,0,0.34012149881842735,0.007342844279515577
0.03,0.015,0.035,0.5,0.9,0.3,5,0,0.4313987095705956,0.009251549649362168
0.03,0.024,0.035,0.5,0.5,-0.4,1,0,0.24397301165927776,0.006547730103764026
0.03,0.024,0.035,0.5,0.9,0.3,5,0,0.2846538768818181,0.007599202461029131
0.03,0.028499999999999998,0.035,0.5,0.5,-0.4,1,0,0.21252822898269444,0.006204358775223082
0.03,0.028499999999999998,0.035,0.5,0.9,0.3,5,0,0.26489236766161617,0.007695517433913061
0.03,0.0315,0.035,0.5,0.5,-0.4,1,0,0.19733768720029798,0.006056969111283715
0.03,0.0315,0.035,0.5,0.9,0.3,5,0,0.27546077462620655,0.008415785013675766
0.03,0.039,0.035,0.5,0.5,-0.4,1,0,0.1795847446704043,0.00615128836871589
0.03,0.039,0.035,0.5,0.9,0.3,5,0,0.3288276563048932,0.011216441788003144
0.03,0.06,0.035,0.5,0.5,-0.4,1,0,0.1972870399007607,0.008528596149950274
0.03,0.06,0.035,0.5,0.9,0.3,5,0,0.44992735351443036,0.019384633609679413
0.05,0.025,0.0873,0.7,0.5,-0.4,1,0,0.3380090587012552,0.012162556085156886
0.05,0.025,0.0873,0.7,0.9,0.3,5,0,0.4348927994608448,0.01554830758006117
0.05,0.04000000000000001,0.0873,0.7,0.5,-0.4,1,0,0.25140538696054715,0.011243637280574202
0.05,0.04000000000000001,0.0873,0.7,0.9,0.3,5,0,0.2974676030147456,0.013229257722211975
0.05,0.0475,0.0873,0.7,0.5,-0.4,1,0,0.22346466350356275,0.010870498278510079
0.05,0.0475,0.0873,0.7,0.9,0.3,5,0,0.2831603010027178,0.013701121013864323
0.05,0.052500000000000005,0.0873,0.7,0.5,-0.4,1,0,0.21016161042860407,0.01074848405721211
0.05,0.052500000000000005,0.0873,0.7,0.9,0.3,5,0,0.29637241050031515,0.015079317802268089
0.05,0.065,0.0873,0.7,0.5,-0.4,1,0,0.19493916646366988,0.011125576107049177
