# QuantLib 1.44-dev (commit 0191ca7); generated by quantlib-conformance/tools/export_fixtures
f,K,alpha,beta,nu,rho,gamma,T,normal_vol
0.05,0.020000000000000004,0.0873,0.5,0.47,-0.48,0,10,0.019451751584769455
0.05,0.034999999999999996,0.0873,0.5,0.47,-0.48,0,10,0.019710741864650078
0.05,0.045000000000000005,0.0873,0.5,0.47,-0.48,0,10,0.019600349343276483
0.05,0.05500000000000001,0.0873,0.5,0.47,-0.48,0,10,0.019457155401787156
0.05,0.07500000000000001,0.0873,0.5,0.47,-0.48,0,10,0.019799847655667124
0.05,0.125,0.0873,0.5,0.47,-0.48,0,10,0.02394846117053516
0.05,0.020000000000000004,0.0873,0.7,0.47,-0.48,0,10,0.01131759394985667
0.05,0.034999999999999996,0.0873,0.7,0.47,-0.48,0,10,0.011283091049004745
0.05,0.045000000000000005,0.0873,0.7,0.47,-0.48,0,10,0.01092724638605987
0.05,0.05500000000000001,0.0873,0.7,0.47,-0.48,0,10,0.010575875189834575
0.05,0.07500000000000001,0.0873,0.7,0.47,-0.48,0,10,0.011364702442244105
0.05,0.125,0.0873,0.7,0.47,-0.48,0,10,0.016005934485687583
0.05,0.020000000000000004,0.0873,0.5,0.47,-0.48,0.5,10,0.019726542389025596
0.05,0.034999999999999996,0.0873,0.5,0.47,-0.48,0.5,10,0.01977633129101788
0.05,0.045000000000000005,0.0873,0.5,0.47,-0.48,0.5,10,0.019606635987518745
0.05,0.05500000000000001,0.0873,0.5,0.47,-0.48,0.5,10,0.019461512181020265
0.05,0.07500000000000001,0.0873,0.5,0.47,-0.48,0.5,10,0.01981363150942366
0.05,0.125,0.0873,0.5,0.47,-0.48,0.5,10,0.024166903179632687
0.05,0.020000000000000004,0.0873,0.7,0.47,-0.48,0.5,10,0.011740785731720932
0.05,0.034999999999999996,0.0873,0.7,0.47,-0.48,0.5,10,0.011402207685944661
0.05,0.045000000000000005,0.0873,0.7,0.47,-0.48,0.5,10,0.010939466107773603
0.05,0.05500000000000001,0.0873,0.7,0.47,-0.48,0.5,10,0.010582055528430154
0.05,0.07500000000000001,0.0873,0.7,0.47,-0.48,0.5,10,0.011379320010745366
0.05,0.125,0.0873,0.7,0.47,-0.48,0.5,10,0.016560089545279363
0.05,0.020000000000000004,0.0873,0.5,0.47,-0.48,1,10,0.02007448791395699
0.05,0.034999999999999996,0.0873,0.5,0.47,-0.48,1,10,0.01985004490862151
0.05,0.045000000000000005,0.0873,0.5,0.47,-0.48,1,10,0.0196131402337994
0.05,0.05500000000000001,0.0873,0.5,0.47,-0.48,1,10,0.019465775915835707
0.05,0.07500000000000001,0.0873,0.5,0.47,-0.48,1,10,0.019828161733005376
0.05,0.125,0.0873,0.5,0.47,-0.48,1,10,0.024517438526034795
0.05,0.020000000000000004,0.0873,0.7,0.47,-0.48,1,10,0.012345050656020184
0.05,0.034999999999999996,0.0873,0.7,0.47,-0.48,1,10,0.011548627699418475
0.05,0.045000000000000005,0.0873,0.7,0.47,-0.48,1,10,0.010952520139739345
0.05,0.05500000000000001,0.0873,0.7,0.47,-0.48,1,10,0.010588078482164358
0.05,0.07500000000000001,0.0873,0.7,0.47,-0.48,1,10,0.011398185263053449
0.05,0.125,0.0873,0.7,0.47,-0.48,1,10,0.017580129435840062
0.05,0.020000000000000004,0.0873,0.5,0.47,-0.48,1.5,10,0.020539160704468547
0.05,0.034999999999999996,0.0873,0.5,0.47,-0.48,1.5,10,0.01993395755186549
0.05,0.045000000000000005,0.0873,0.5,0.47,-0.48,1.5,10,0.019619876465855755
0.05,0.05500000000000001,0.0873,0.5,0.47,-0.48,1.5,10,0.019469949723391812
0.05,0.07500000000000001,0.0873,0.5,0.47,-0.48,1.5,10,0.01984347022526704
0.05,0.125,0.0873,0.5,0.47,-0.48,1.5,10,0.025251275887744715
0.05,0.020000000000000004,0.0873,0.7,0.47,-0.48,1.5,10,0.013312330878298735
0.05,0.034999999999999996,0.0873,0.7,0.47,-0.48,1.5,10,0.011736101559847237
0.05,0.045000000000000005,0.0873,0.7,0.47,-0.48,1.5,10,0.01096652099270186
0.05,0.05500000000000001,0.0873,0.7,0.47,-0.48,1.5,10,0.01059394749743811
0.05,0.07500000000000001,0.0873,0.7,0.47,-0.48,1.5,10,0.011424902017026402
0.05,0.125,0.0873,0.7,0.47,-0.48,1.5,10,0.020442342993526236
